dataset_id,protocol,popularity,encoding,source_name,source_home,source_path,source_url,local_path,size_bytes,packet_count,sha256,notes
http_tls_challenge_stream,HTTP over TLS (mixed stream),common,text,Wireshark test captures (GitLab),https://gitlab.com/wireshark/wireshark/-/tree/master/test/captures,test/captures/challenge01_ooo_stream.pcapng.gz,https://gitlab.com/wireshark/wireshark/-/raw/master/test/captures/challenge01_ooo_stream.pcapng.gz,common/text/http_tls_challenge_stream__challenge01_ooo_stream.pcapng,1648580,1670,c039b9d010f227335359d1b63e8e296d0305c86d1e467e6975816a6b59890808,Large mixed HTTP/TLS stream with rich message diversity.
sip_rtp_long,SIP + RTP,common,text,Wireshark test captures (GitLab),https://gitlab.com/wireshark/wireshark/-/tree/master/test/captures,test/captures/sip-rtp.pcapng,https://gitlab.com/wireshark/wireshark/-/raw/master/test/captures/sip-rtp.pcapng,common/text/sip_rtp_long__sip-rtp.pcapng,144300,562,3efc97803100ba91bd24f503f487707a499686841b920e7c8f4f904faa82dd25,Large SIP signaling with RTP media packets.
grpc_web_bulk,gRPC-Web / HTTP,common,text,Wireshark test captures (GitLab),https://gitlab.com/wireshark/wireshark/-/tree/master/test/captures,test/captures/grpc_web.pcapng.gz,https://gitlab.com/wireshark/wireshark/-/raw/master/test/captures/grpc_web.pcapng.gz,common/text/grpc_web_bulk__grpc_web.pcapng,1945348,408,16d1accdc71b001fbd5a4613f4163773b85be2a23a27bfb4efb582157a6a79e5,gRPC-Web style traffic with many messages.
dns_mdns_lan,DNS + mDNS,common,binary,Wireshark test captures (GitLab),https://gitlab.com/wireshark/wireshark/-/tree/master/test/captures,test/captures/dns-mdns.pcap,https://gitlab.com/wireshark/wireshark/-/raw/master/test/captures/dns-mdns.pcap,common/binary/dns_mdns_lan__dns-mdns.pcap,72858,587,4627bc7d6b0ae25c5d2f97ad317f1b53a7b050dd13d4c1d8e4a7b2b47f508f32,Large LAN name-resolution traffic.
quic_follow_multistream,QUIC,common,binary,Wireshark test captures (GitLab),https://gitlab.com/wireshark/wireshark/-/tree/master/test/captures,test/captures/quic_follow_multistream.pcapng,https://gitlab.com/wireshark/wireshark/-/raw/master/test/captures/quic_follow_multistream.pcapng,common/binary/quic_follow_multistream__quic_follow_multistream.pcapng,982848,905,3c007600c7ba58138fce66bf1ce048a37b81b06fb62d9be7e17ce05a49b208f5,Large QUIC multistream capture.
http2_follow_multistream,HTTP/2,common,binary,Wireshark test captures (GitLab),https://gitlab.com/wireshark/wireshark/-/tree/master/test/captures,test/captures/http2_follow_multistream.pcapng,https://gitlab.com/wireshark/wireshark/-/raw/master/test/captures/http2_follow_multistream.pcapng,common/binary/http2_follow_multistream__http2_follow_multistream.pcapng,247716,197,e0a782d9abdf01c20fcf6040a4093d48eb9001207edea422cb1e314ad2796a9d,HTTP/2 over TLS with many frames/streams.
tls_fragmented_handshakes,TLS (fragmented handshakes),common,binary,Wireshark test captures (GitLab),https://gitlab.com/wireshark/wireshark/-/tree/master/test/captures,test/captures/tls-fragmented-handshakes.pcap.gz,https://gitlab.com/wireshark/wireshark/-/raw/master/test/captures/tls-fragmented-handshakes.pcap.gz,common/binary/tls_fragmented_handshakes__tls-fragmented-handshakes.pcap,88733,589,08418b3a5e4cfa3aa84ed681f0d4d86307ea477c153da03901c4571a39c51f20,Large TLS handshake-fragmentation sample with high packet count.
netperfmeter_flow,NetPerfMeter,uncommon,text,Wireshark test captures (GitLab),https://gitlab.com/wireshark/wireshark/-/tree/master/test/captures,test/captures/netperfmeter.pcapng.gz,https://gitlab.com/wireshark/wireshark/-/raw/master/test/captures/netperfmeter.pcapng.gz,uncommon/text/netperfmeter_flow__netperfmeter.pcapng,1265952,2342,0cb5f4d9e7b37c9f3fb0b77e929ae071b4f5c541b66143d1c75dfe2b9982b0db,Large application/control flow with many packets.
grpc_stream_reassembly,gRPC stream reassembly,uncommon,text,Wireshark test captures (GitLab),https://gitlab.com/wireshark/wireshark/-/tree/master/test/captures,test/captures/grpc_stream_reassembly_sample.pcapng.gz,https://gitlab.com/wireshark/wireshark/-/raw/master/test/captures/grpc_stream_reassembly_sample.pcapng.gz,uncommon/text/grpc_stream_reassembly__grpc_stream_reassembly_sample.pcapng,347776,173,15b507d22f085f384b7788dd8f56242c441405190e7643579c60e59bcb11764a,gRPC stream reassembly scenario with richer sequence context.
opcua_signed_heavy,OPC UA (signed),uncommon,binary,Wireshark test captures (GitLab),https://gitlab.com/wireshark/wireshark/-/tree/master/test/captures,test/captures/opcua-signed.pcapng,https://gitlab.com/wireshark/wireshark/-/raw/master/test/captures/opcua-signed.pcapng,uncommon/binary/opcua_signed_heavy__opcua-signed.pcapng,597228,98,a2aaa4a74040dd079de4358131864725f01634bf53477f1a23485f6a0acfc7d2,Industrial protocol sample with larger packet volume.
opcua_encrypted_chunk_keys,OPC UA (encrypted + chunking),uncommon,binary,Wireshark test captures (GitLab),https://gitlab.com/wireshark/wireshark/-/tree/master/test/captures,test/captures/opcua-encrypted_with_chunking_with_keys.pcapng,https://gitlab.com/wireshark/wireshark/-/raw/master/test/captures/opcua-encrypted_with_chunking_with_keys.pcapng,uncommon/binary/opcua_encrypted_chunk_keys__opcua-encrypted_with_chunking_with_keys.pcapng,227668,126,731057c0df19337710eedc578e2fa3a010a86522c83c980d2a8d0bd61938f039,Encrypted/chunked OPC UA trace with key material metadata.
logistics_multicast,Logistics multicast,uncommon,binary,Wireshark test captures (GitLab),https://gitlab.com/wireshark/wireshark/-/tree/master/test/captures,test/captures/logistics_multicast.pcapng,https://gitlab.com/wireshark/wireshark/-/raw/master/test/captures/logistics_multicast.pcapng,uncommon/binary/logistics_multicast__logistics_multicast.pcapng,139980,885,276b36cd705b60f134a74d5efb7497a53851f279f0a7a458355eb438dd912fa7,Large multicast capture with mixed uncommon protocols.
